"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2022","1,464.00","1,464.00","1,464.00","1,464.00","","0.21%"
"09/14/2022","1,461.00","1,461.00","1,461.00","1,461.00","","0.41%"
"09/13/2022","1,455.00","1,455.00","1,455.00","1,455.00","","1.11%"
"09/12/2022","1,439.00","1,439.00","1,439.00","1,439.00","","0.49%"
"09/09/2022","1,432.00","1,432.00","1,432.00","1,432.00","","1.13%"
"09/08/2022","1,416.00","1,416.00","1,416.00","1,416.00","","-0.28%"
"09/07/2022","1,420.00","1,420.00","1,420.00","1,420.00","","-1.32%"
"09/06/2022","1,439.00","1,439.00","1,439.00","1,439.00","","-2.18%"
"09/05/2022","1,471.00","1,471.00","1,471.00","1,471.00","","-1.21%"
"09/02/2022","1,489.00","1,489.00","1,489.00","1,489.00","","-1.00%"
"09/01/2022","1,504.00","1,504.00","1,504.00","1,504.00","","-0.53%"
"08/31/2022","1,512.00","1,512.00","1,512.00","1,512.00","","-0.92%"
"08/30/2022","1,526.00","1,526.00","1,526.00","1,526.00","","-1.80%"
"08/26/2022","1,554.00","1,554.00","1,554.00","1,554.00","","0.26%"
"08/25/2022","1,550.00","1,550.00","1,550.00","1,550.00","","0.52%"
"08/24/2022","1,542.00","1,542.00","1,542.00","1,542.00","","-0.45%"
"08/23/2022","1,549.00","1,549.00","1,549.00","1,549.00","","0.06%"
"08/22/2022","1,548.00","1,548.00","1,548.00","1,548.00","","-0.39%"
"08/19/2022","1,554.00","0.00","0.00","0.00","","0.06%"
"08/18/2022","1,553.00","1,553.00","1,553.00","1,553.00","","0.39%"
"08/17/2022","1,547.00","1,547.00","1,547.00","1,547.00","","2.11%"
"08/16/2022","1,515.00","1,515.00","1,515.00","1,515.00","","1.81%"
"08/15/2022","1,488.00","1,488.00","1,488.00","1,488.00","","0.88%"
"08/12/2022","1,475.00","1,475.00","1,475.00","1,475.00","","0.41%"
"08/11/2022","1,469.00","1,469.00","1,469.00","1,469.00","","0.41%"
"08/10/2022","1,463.00","1,463.00","1,463.00","1,463.00","","0.55%"
"08/09/2022","1,455.00","1,455.00","1,455.00","1,455.00","","0.28%"
"08/08/2022","1,451.00","1,451.00","1,451.00","1,451.00","","0.21%"
"08/05/2022","1,448.00","1,448.00","1,448.00","1,448.00","","0.77%"
